source,record_id,title,year,venue,doi,cited_by_count,query_seed,relevance_note
Crossref,https://doi.org/10.1109/robot.2009.5152664,"Safe, Stable and Intuitive Control for Physical Human-Robot Interaction",2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152664,85,safe physical interaction robot exploration,safe;exploration;robot;control
Crossref,https://doi.org/10.1016/j.robot.2016.06.008,Planning for robotic exploration based on forward simulation,2016,Robotics and Autonomous Systems,10.1016/j.robot.2016.06.008,83,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1016/j.robot.2009.11.005,An information-based exploration strategy for environment mapping with mobile robots,2010,Robotics and Autonomous Systems,10.1016/j.robot.2009.11.005,83,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.23919/acc.1984.4788350,Simplified Grasping and Manipulation with Dextrous Robot Hands,1984,1984 American Control Conference,10.23919/acc.1984.4788350,81,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1126/scirobotics.abm6010,Learning garment manipulation policies toward robot-assisted dressing,2022,Science Robotics,10.1126/scirobotics.abm6010,79,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1109/icra.2013.6631072,External force estimation during compliant robot manipulation,2013,2013 IEEE International Conference on Robotics and Automation,10.1109/icra.2013.6631072,78,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1109/tro.2023.3300230,Global Planning for Contact-Rich Manipulation via Local Smoothing of Quasi-Dynamic Contact Models,2023,IEEE Transactions on Robotics,10.1109/tro.2023.3300230,77,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1177/0278364916667473,Force-Amplifying N-robot Transport System (Force-ANTS) for cooperative planar manipulation without communication,2016,The International Journal of Robotics Research,10.1177/0278364916667473,76,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1109/access.2021.3055852,Novel Implementation of Multi-Robot Space Exploration Utilizing Coordinated Multi-Robot Exploration and Frequency Modified Whale Optimization Algorithm,2021,IEEE Access,10.1109/access.2021.3055852,74,robot exploration constraint certificate,exploration;robot;constraint
Crossref,https://doi.org/10.1145/1957656.1957700,Tactile sensing,2011,Proceedings of the 6th international conference on Human-robot interaction,10.1145/1957656.1957700,70,safe physical interaction robot exploration,safe;exploration;robot;tactile
Crossref,https://doi.org/10.1177/0278364912461676,Stochastic differential equation-based exploration algorithm for autonomous indoor 3D exploration with a micro-aerial vehicle,2012,The International Journal of Robotics Research,10.1177/0278364912461676,69,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/robot.2009.5152595,A flexible robot skin for safe physical human robot interaction,2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152595,69,safe physical interaction robot exploration,safe;exploration;robot
Crossref,https://doi.org/10.1177/0278364907080254,Contact Detection in Microrobotic Manipulation,2007,The International Journal of Robotics Research,10.1177/0278364907080254,69,safe exploration robotics contact rich manipulation,safe;contact;exploration;robot;manipulation
Crossref,https://doi.org/10.1109/robot.2005.1570713,Frontier-Based Probabilistic Strategies for Sensor-Based Exploration,,Proceedings of the 2005 IEEE International Conference on Robotics and Automation,10.1109/robot.2005.1570713,69,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1016/0301-679x(95)92697-4,A deterministic model for line-contact partial elastohydrodynamic lubrication,1995,Tribology International,10.1016/0301-679x(95)92697-4,68,robot probing contact safety deterministic,safe;contact;robot
Crossref,https://doi.org/10.1109/icra.2018.8460862,Surface-Based Exploration for Autonomous 3D Modeling,2018,2018 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2018.8460862,65,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1561/9781680832792,A Survey of Methods for Safe Human-Robot Interaction,2017,,10.1561/9781680832792,65,safe physical interaction robot exploration,safe;exploration;robot
Crossref,https://doi.org/10.1109/ichr.2004.1442127,Domo: a force sensing humanoid robot for manipulation research,,"4th IEEE/RAS International Conference on Humanoid Robots, 2004.",10.1109/ichr.2004.1442127,65,robot manipulation force limit exploration,exploration;robot;manipulation
Crossref,https://doi.org/10.1002/rob.21477,Reconfigurable Integrated Multirobot Exploration System (RIMRES): Heterogeneous Modular Reconfigurable Robots for Space Exploration,2014,Journal of Field Robotics,10.1002/rob.21477,64,safe set expansion robotics exploration,safe;exploration;robot
Crossref,https://doi.org/10.1016/j.rcim.2010.07.005,Safe human–robot interaction based on dynamic sphere-swept line bounding volumes,2011,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2010.07.005,63,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/robot.2009.5152571,Integration of active and passive compliance control for safe human-robot coexistence,2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152571,63,safe active learning robot control constraints,safe;robot;constraint;control
Crossref,https://doi.org/10.1002/acs.2734,Iterative learning control for non‐repetitive trajectory tracking of robot manipulators with joint position constraints and actuator faults,2017,International Journal of Adaptive Control and Signal Processing,10.1002/acs.2734,60,safe active learning robot control constraints,safe;robot;constraint;control
Crossref,https://doi.org/10.1109/lra.2017.2719761,Model-Free Precise in-Hand Manipulation with a 3D-Printed Tactile Gripper,2017,IEEE Robotics and Automation Letters,10.1109/lra.2017.2719761,60,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1177/027836499801700502,An Exploration of Nonprehensile Two-Palm Manipulation,1998,The International Journal of Robotics Research,10.1177/027836499801700502,60,safe exploration robotics contact rich manipulation,safe;contact;exploration;robot;manipulation
Crossref,https://doi.org/10.1126/scirobotics.abd2666,Complex manipulation with a simple robotic hand through contact breaking and caging,2021,Science Robotics,10.1126/scirobotics.abd2666,59,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1109/tro.2013.2281560,Dealing With Constraints in Sensor-Based Robot Control,2014,IEEE Transactions on Robotics,10.1109/tro.2013.2281560,58,safe control robot contact constraints,safe;contact;robot;constraint;control
Crossref,https://doi.org/10.1109/lra.2016.2514420,Tactile Manipulation With a TacThumb Integrated on the Open-Hand M2 Gripper,2016,IEEE Robotics and Automation Letters,10.1109/lra.2016.2514420,55,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/tro.2017.2750697,Invariance Control for Safe Human–Robot Interaction in Dynamic Environments,2017,IEEE Transactions on Robotics,10.1109/tro.2017.2750697,53,safe physical interaction robot exploration,safe;exploration;robot;control
Crossref,https://doi.org/10.1109/lra.2022.3216996,Safe Reinforcement Learning Using Robust Control Barrier Functions,2025,IEEE Robotics and Automation Letters,10.1109/lra.2022.3216996,52,control barrier functions robot contact manipulation,safe;contact;robot;barrier;control
Crossref,https://doi.org/10.1109/tro.2024.3428430,Evetac: An Event-Based Optical Tactile Sensor for Robotic Manipulation,2024,IEEE Transactions on Robotics,10.1109/tro.2024.3428430,52,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1007/s10514-015-9509-1,Balancing of humanoid robot using contact force/moment control by task-oriented whole body control framework,2016,Autonomous Robots,10.1007/s10514-015-9509-1,52,safe control robot contact constraints,safe;contact;robot;constraint;control
Crossref,https://doi.org/10.1109/robot.2000.844120,Preliminary experiments in cooperative human/robot force control for robot assisted microsurgical manipulation,,Proceedings 2000 ICRA. Millennium Conference. IEEE International Conference on Robotics and Automation. Symposia Proceedings (Cat. No.00CH37065),10.1109/robot.2000.844120,52,robot manipulation force limit exploration,exploration;robot;control;manipulation
Crossref,https://doi.org/10.1109/tro.2020.3031254,Control of Mobile Robots Using Barrier Functions Under Temporal Logic Specifications,2021,IEEE Transactions on Robotics,10.1109/tro.2020.3031254,51,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1109/toh.2014.2321395,Analysis of Hand Contact Areas and Interaction Capabilities During Manipulation and Exploration,2014,IEEE Transactions on Haptics,10.1109/toh.2014.2321395,51,contact safe exploration robot manipulation,safe;contact;exploration;robot;manipulation
Crossref,https://doi.org/10.1109/haptic.2012.6183772,A three DoFs wearable tactile display for exploration and manipulation of virtual objects,2012,2012 IEEE Haptics Symposium (HAPTICS),10.1109/haptic.2012.6183772,51,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/lra.2022.3224667,Deep Reinforcement Learning for Decentralized Multi-Robot Exploration With Macro Actions,2023,IEEE Robotics and Automation Letters,10.1109/lra.2022.3224667,50,robot exploration without reinforcement learning safety,safe;exploration;robot
Crossref,https://doi.org/10.1109/lra.2022.3150024,Residual Learning From Demonstration: Adapting DMPs for Contact-Rich Manipulation,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3150024,49,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1109/lra.2022.3188109,Robot Learning of Mobile Manipulation With Reachability Behavior Priors,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3188109,49,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1109/lra.2022.3196132,Safe-Control-Gym: A Unified Benchmark Suite for Safe Learning-Based Control and Reinforcement Learning in Robotics,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3196132,49,safe model based exploration robotics,safe;exploration;robot;control
Crossref,https://doi.org/10.1016/j.biopsycho.2020.107989,Making eye contact with a robot: Psychophysiological responses to eye contact with a human and with a humanoid robot,2021,Biological Psychology,10.1016/j.biopsycho.2020.107989,49,robot probing contact safety deterministic,safe;contact;robot
Crossref,https://doi.org/10.1109/mcs.2020.3019725,Human-in-the-Loop Robot Control for Human-Robot Collaboration: Human Intention Estimation and Safe Trajectory Tracking Control for Collaborative Tasks,2020,IEEE Control Systems,10.1109/mcs.2020.3019725,49,safe control robot contact constraints,safe;contact;robot;constraint;control
Crossref,https://doi.org/10.23919/acc.2019.8814594,Constraint-Driven Coordinated Control of Multi-Robot Systems,2019,2019 American Control Conference (ACC),10.23919/acc.2019.8814594,49,robot exploration constraint certificate,exploration;robot;constraint;control
Crossref,https://doi.org/10.23919/ecc.2019.8796235,Safety Barrier Functions for Human-Robot Interaction with Industrial Manipulators,2019,2019 18th European Control Conference (ECC),10.23919/ecc.2019.8796235,49,control barrier functions robot contact manipulation,safe;contact;robot;barrier;control
Crossref,https://doi.org/10.1109/lcsys.2021.3086854,Risk-Averse Control via CVaR Barrier Functions: Application to Bipedal Robot Locomotion,2022,IEEE Control Systems Letters,10.1109/lcsys.2021.3086854,48,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1109/icra40945.2020.9196867,Robust Model Predictive Shielding for Safe Reinforcement Learning with Stochastic Dynamics,2020,2020 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra40945.2020.9196867,48,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1109/iros.2014.6943031,Learning robot tactile sensing for object manipulation,2014,2014 IEEE/RSJ International Conference on Intelligent Robots and Systems,10.1109/iros.2014.6943031,48,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1007/978-3-642-14743-2_33,"Safe Physical Human-Robot Interaction: Measurements, Analysis and New Insights",2010,Springer Tracts in Advanced Robotics Robotics Research,10.1007/978-3-642-14743-2_33,48,safe physical interaction robot exploration,safe;exploration;robot
Crossref,https://doi.org/10.1016/s0167-4730(97)00017-9,Structural reliability analysis using a standard deterministic finite element code,1997,Structural Safety,10.1016/s0167-4730(97)00017-9,48,robot probing contact safety deterministic,safe;contact;robot
Crossref,https://doi.org/10.1109/tro.2024.3372778,Goal-Conditioned Dual-Action Imitation Learning for Dexterous Dual-Arm Robot Manipulation,2024,IEEE Transactions on Robotics,10.1109/tro.2024.3372778,46,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1016/j.robot.2016.08.007,Multi-contact haptic exploration and grasping with tactile sensors,2016,Robotics and Autonomous Systems,10.1016/j.robot.2016.08.007,45,safe exploration robotics contact rich manipulation,safe;contact;exploration;robot;tactile
Crossref,https://doi.org/10.1109/icra.2011.5979601,Series Clutch Actuators for safe physical human-robot interaction,2011,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5979601,44,safe physical interaction robot exploration,safe;exploration;robot
Crossref,https://doi.org/10.1109/icra48891.2023.10160295,SEER: Safe Efficient Exploration for Aerial Robots using Learning to Predict Information Gain,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra48891.2023.10160295,43,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1016/j.ifacol.2020.12.2276,Safe Reinforcement Learning via Projection on a Safe Set: How to Achieve Optimality?,2020,IFAC-PapersOnLine,10.1016/j.ifacol.2020.12.2276,43,safe set expansion robotics exploration,safe;exploration;robot
Crossref,https://doi.org/10.1109/robot.2008.4543529,Safe joint mechanism based on nonlinear stiffness for safe human-robot collision,2008,2008 IEEE International Conference on Robotics and Automation,10.1109/robot.2008.4543529,43,safe model based exploration robotics,safe;exploration;robot
Crossref,https://doi.org/10.1017/s0263574708004281,Robot multiple contact control,2008,Robotica,10.1017/s0263574708004281,42,safe control robot contact constraints,safe;contact;robot;constraint;control
Crossref,https://doi.org/10.1109/lra.2020.3028529,Stability-Guaranteed Reinforcement Learning for Contact-Rich Manipulation,2021,IEEE Robotics and Automation Letters,10.1109/lra.2020.3028529,41,contact dynamics learning safety robot manipulation,safe;contact;robot;manipulation
Crossref,https://doi.org/10.1109/lra.2022.3152313,Ensuring Safety of Learning-Based Motion Planners Using Control Barrier Functions,2022,IEEE Robotics and Automation Letters,10.1109/lra.2022.3152313,40,control barrier functions robot contact manipulation,safe;contact;robot;barrier;control
Crossref,https://doi.org/10.23919/acc53348.2022.9867633,High Order Robust Adaptive Control Barrier Functions and Exponentially Stabilizing Adaptive Control Lyapunov Functions,2022,2022 American Control Conference (ACC),10.23919/acc53348.2022.9867633,40,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1109/lra.2018.2789848,Persistification of Robotic Tasks Using Control Barrier Functions,2018,IEEE Robotics and Automation Letters,10.1109/lra.2018.2789848,40,control barrier functions robot contact manipulation,contact;robot;barrier;control;manipulation
Crossref,https://doi.org/10.1109/robot.1990.126118,Robot active touch exploration: constraints and strategies,,"Proceedings., IEEE International Conference on Robotics and Automation",10.1109/robot.1990.126118,40,safe active learning robot control constraints,safe;exploration;robot;constraint;control
Crossref,https://doi.org/10.1109/lra.2020.2972881,Dynamically Reconfigurable Tactile Sensor for Robotic Manipulation,2020,IEEE Robotics and Automation Letters,10.1109/lra.2020.2972881,39,tactile exploration safe robot manipulation,safe;exploration;robot;tactile;manipulation
Crossref,https://doi.org/10.1109/lra.2024.3379804,Deep Reinforcement Learning-Based Large-Scale Robot Exploration,2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3379804,38,robot exploration without reinforcement learning safety,safe;exploration;robot
Crossref,https://doi.org/10.1016/s0967-0661(97)10009-0,Point-to-point robot control under actuator constraints,1997,Control Engineering Practice,10.1016/s0967-0661(97)10009-0,38,safe control robot contact constraints,safe;contact;robot;constraint;control
Crossref,https://doi.org/10.1007/978-1-4757-6451-2_4,Reinforcement Learning in the Multi-Robot Domain,1997,Robot Colonies,10.1007/978-1-4757-6451-2_4,38,robot exploration without reinforcement learning safety,safe;exploration;robot
